threshold,trades_exceeding,trades_exceeding_pct,notional_exceeding,notional_exceeding_pct,side
20,1588,0.17123509241087795,2044575,4.693397413705775,bid
50,244,0.02631068170544976,787820,1.80846990228565,bid
100,9,0.000970475964545278,203645,0.4674746176169191,bid
200,1,0.00010783066272725312,20000,0.0459107385515892,bid
500,0,0.0,0,0.0,bid
1000,0,0.0,0,0.0,bid
1001,0,0.0,0,0.0,bid
20,1651,0.17395592203487337,1956293,4.501456863771802,ask
50,236,0.024865898001350764,748081,1.721344579828928,ask
100,9,0.0009482757712379529,106370,0.24475882017642886,ask
200,0,0.0,0,0.0,ask
500,0,0.0,0,0.0,ask
1000,0,0.0,0,0.0,ask
1001,0,0.0,0,0.0,ask
